,omega_0 [rad/s],zeta_a [m],eta_3a [m],eta_5a [rad],mu_ua [-]
67,2.123955,1.0,(0.053048655165854955+0.03383923682679371j),(0.005309431759671727-0.011710595593762448j),(-0.5500861676988571+0.09644520578440484j)
68,2.140847,1.0,(0.039366157702388715+0.026126764903301854j),(0.00551773427881497-0.010906693778730315j),(-0.47429367118323873+0.12247000422197812j)
69,2.157628,1.0,(0.025968869181294135+0.018514309662000634j),(0.005729177927921275-0.010118135107020317j),(-0.39554658932514375+0.15006307250450482j)
70,2.174301,1.0,(0.01288416626048005+0.011029358394593996j),(0.005940145965676843-0.009344604108515401j),(-0.3140273203196333+0.17908997769961735j)
71,2.190869,1.0,(0.00013726841954229567+0.00369775386576273j),(0.006147267288245442-0.008585859247388007j),(-0.22992904175172063+0.20940620410194244j)
72,2.207333,1.0,(-0.012247006932215155-0.003455228666055815j),(0.0063473130249981375-0.007841837489659473j),(-0.14346479141102958+0.2408530217931579j)
73,2.223694,1.0,(-0.02424590539477168-0.010406019293832858j),(0.006537267224488302-0.007112540147663778j),(-0.05485858103532559+0.2732622220639773j)
74,2.239955,1.0,(-0.03584026907426753-0.017133573003411257j),(0.006714377555705555-0.006397963998315335j),(0.03566723124904163+0.3064625014137949j)
75,2.256118,1.0,(-0.047012022600765806-0.02361809513765162j),(0.006876093320476201-0.005698211202978814j),(0.12787645465882683+0.3402731177879633j)
76,2.272185,1.0,(-0.05774504071370267-0.029841321179913238j),(0.007020069380814306-0.005013495540945718j),(0.22152586475547317+0.3745084868640646j)
77,2.288157,1.0,(-0.0680242844211475-0.035786331645758805j),(0.007144159000327813-0.004344131690317237j),(0.3163586210600823+0.4089759188853536j)
78,2.304035,1.0,(-0.0778365212319955-0.04143782711921954j),(0.007246426673050045-0.0036905080141800863j),(0.4121123025519971+0.443478978126037j)
79,2.319822,1.0,(-0.08717161613454683-0.04678301455453919j),(0.007325196380172258-0.0030530015973161263j),(0.5085297300059065+0.47782535907659374j)
80,2.335519,1.0,(-0.09601969808487794-0.051809874878894505j),(0.007378957999780007-0.002432146381082959j),(0.6053380765110308+0.5118165566229143j)
81,2.351127,1.0,(-0.10437257723615133-0.056508133024883125j),(0.007406436210229288-0.0018285311380064923j),(0.7022596935009289+0.5452549005012491j)
82,2.366649,1.0,(-0.11222466880591744-0.06086973825094759j),(0.007406566015176918-0.001242718379672827j),(0.7990258492614781+0.5779498411332331j)
