,omega_0 [rad/s],zeta_a [m],eta_3a [m],eta_5a [rad],mu_ua [-]
80,2.335519,1.0,(-0.014995253460974259+0.07063151168317969j),(0.01066491319977208+0.004035217762719952j),(-0.08932844527277928-0.6999252670831468j)
81,2.351127,1.0,(-0.023246996366029084+0.06655592275173414j),(0.010911220140746221+0.004505029719042046j),(-0.022065478849325748-0.6958389085359942j)
82,2.366649,1.0,(-0.03121432128144929+0.06238535402257455j),(0.011099853769196106+0.004944919255384822j),(0.047120918522769006-0.6889395766290256j)
83,2.382085,1.0,(-0.03887152902357686+0.058135904466947635j),(0.01123152367567136+0.005354397182915964j),(0.11792650547010916-0.679217747935107j)
84,2.397436,1.0,(-0.04619503143665491+0.05382343917322707j),(0.011307163979728864+0.005733081589516415j),(0.1900357255978202-0.666678283494344j)
85,2.412705,1.0,(-0.053163788927731645+0.049463222079778484j),(0.011327894635971085+0.0060807045220217255j),(0.26312842303953277-0.6513378336943718j)
86,2.427892,1.0,(-0.05975705296785933+0.045071266555499895j),(0.011295017452243889+0.006396986839481146j),(0.3368573692999467-0.633229714290106j)
87,2.443,1.0,(-0.06595708378613385+0.04066260160911761j),(0.011209991809313868+0.006681785964629559j),(0.4108789173930194-0.6123978154675378j)
88,2.458028,1.0,(-0.0717462851034358+0.03625322074177521j),(0.011074471953854494+0.0069349475825772906j),(0.48482036862551803-0.5889050165648162j)
89,2.472978,1.0,(-0.07711016496736801+0.03185797784638921j),(0.01089026240411789+0.007156447481671088j),(0.5583158489933767-0.5628236495504328j)
90,2.487853,1.0,(-0.08203629717777496+0.027491165413703986j),(0.010659280371797808+0.007346334436769454j),(0.6309988633865748-0.5342368077008057j)
